Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
6315438,NIU by Vikings,162,Taguig City,Sixth Floor SM Aura Premier C5 Road Corner 26th Street Bonifacio Global City Taguig City,SM Aura Premier Bonifacio Global City Taguig City,SM Aura Premier Bonifacio Global City Taguig City Taguig City,121053725,14545858,Seafood American Mediterranean Japanese,3000,Botswana PulaP,Yes,No,No,No,4,47,Dark Green,Excellent,535
6310406,The Food Hall by Todd English,162,Taguig City,Fifth Floor SM Aura Premier C5 Corner 26th Street Bonifacio Global City Taguig City,SM Aura Premier Bonifacio Global City Taguig City,SM Aura Premier Bonifacio Global City Taguig City Taguig City,1210534998,1454565535,American Asian Italian Seafood,1800,Botswana PulaP,Yes,No,No,No,4,45,Dark Green,Excellent,618
6600681,Chez Michou,30,Bras_lia,SCLN 208 Bloco A Loja 30 Asa Norte Bras_lia,Asa Norte,Asa Norte Bras_lia,4788178889,1576414167,Fast Food French,55,Brazilian RealR,No,No,No,No,2,30,Orange,Average,6
6601005,Caf Daniel Briand,30,Bras_lia,SCLN 104 Bloco A Loja 26 Asa Norte Bras_lia,Asa Norte,Asa Norte Bras_lia,4788266667,157775,Cafe,30,Brazilian RealR,No,No,No,No,1,38,Yellow,Good,9
6600292,Casa do Biscoito Mineiro,30,Bras_lia,SCLN 210 Bloco D Loja 3648 Asa Norte Bras_lia,Asa Norte,Asa Norte Bras_lia,4788213611,1575747222,Bakery,45,Brazilian RealR,No,No,No,No,2,37,Yellow,Good,11
6600441,Maori,30,Bras_lia,CLN 110 Bloco D Loja 28 Asa Norte Bras_lia,Asa Norte,Asa Norte Bras_lia,4788816667,1575883333,Brazilian,60,Brazilian RealR,No,No,No,No,3,38,Yellow,Good,11
6600970,Pizza  Bessa,30,Bras_lia,SCS 214 Bloco C Loja 40 Asa Sul Bras_lia,Asa Sul,Asa Sul Bras_lia,4791566667,1583116667,Pizza,50,Brazilian RealR,No,No,No,No,2,32,Orange,Average,11
6600379,Sushi Loko,30,Bras_lia,SCS 213 Bloco C Loja 35 Asa Sul Bras_lia,Asa Sul,Asa Sul Bras_lia,4791566667,15831,Japanese,80,Brazilian RealR,No,No,No,No,3,31,Orange,Average,10
6600214,Beirute,30,Bras_lia,CLS 109 Bloco A Loja 26 Asa Sul Bras_lia,Asa Sul,Asa Sul Bras_lia,479075,1582,Arabian,90,Brazilian RealR,No,No,No,No,3,37,Yellow,Good,8
6601218,New Koto,30,Bras_lia,SCS 212 Bloco B Loja 26 Asa Sul Bras_lia,Asa Sul,Asa Sul Bras_lia,4791016667,1582733333,Japanese,200,Brazilian RealR,No,No,No,No,4,37,Yellow,Good,5
6600060,Sandubas Caf,30,Bras_lia,Edif_cio Jos Severo SCS 6 Bloco A Loja 99 Asa Sul Bras_lia,Asa Sul,Asa Sul Bras_lia,4789016667,15797,Brazilian Cafe,30,Brazilian RealR,No,No,No,No,1,0,White,Not rated,2
6600083,Villa Tevere,30,Bras_lia,CLS 115 Bloco A Loja 2 Asa Sul Bras_lia,Asa Sul,Asa Sul Bras_lia,4792366667,1583133333,Italian,150,Brazilian RealR,No,No,No,No,4,41,Green,Very Good,12
6601515,Rovereto,30,Bras_lia,Rua 13 Norte Lote 4 guas Claras Bras_lia,guas Claras,guas Claras Bras_lia,48019,1583716667,Pizza,100,Brazilian RealR,No,No,No,No,4,31,Orange,Average,9
6601361,Buena Carne,30,Bras_lia,Avenida Araucrias 1325 Loja 19 guas Claras Bras_lia,guas Claras,guas Claras Bras_lia,4801909167,15839775,Bar Food Brazilian,60,Brazilian RealR,No,No,No,No,3,36,Yellow,Good,9
6601602,Taco Pep,30,Bras_lia,Vila Malls Avenida das Castanheiras Lote 1060 guas Claras Bras_lia,guas Claras,guas Claras Bras_lia,4801666667,1583483333,Mexican Grill,100,Brazilian RealR,No,No,No,No,4,43,Green,Very Good,29
6601589,Coco Bambu,30,Bras_lia,Bras_lia Shopping  Piso 2 SCN 5 Bloco A Asa Norte Bras_lia,Bras_lia Shopping Asa Norte,Bras_lia Shopping Asa Norte Bras_lia,47889,157865,International,230,Brazilian RealR,No,No,No,No,4,42,Green,Very Good,17
6601862,Tayp,30,Bras_lia,Fashion Park Shis Ql 17 Bloco G Loja 208 Lago Sul Bras_lia,Lago Sul,Lago Sul Bras_lia,47872359,15860621,Peruvian Latin American,100,Brazilian RealR,No,No,No,No,4,36,Yellow,Good,5
6601595,Outback Steakhouse,30,Bras_lia,ParkShopping  Piso 2 SAISO rea 6580 Guar I Bras_lia,ParkShopping Guar I,ParkShopping Guar I Bras_lia,4795628333,1583451389,American Grill,150,Brazilian RealR,No,No,No,No,4,40,Green,Very Good,10
6601158,Manzu,30,Bras_lia,Ponto Lago Sul SHIS 10 Lote 9 Lago Sul Bras_lia,Ponto Lago Sul Lago Sul,Ponto Lago Sul Lago Sul Bras_lia,4787283333,1582566667,Seafood,240,Brazilian RealR,No,No,No,No,4,32,Orange,Average,6
6600427,Coco Bambu,30,Bras_lia,SCES Trecho 2 Conjunto 1336 Setor de Clubes Esportivos Sul Bras_lia,Setor De Clubes Esportivos Sul,Setor De Clubes Esportivos Sul Bras_lia,478685,15819,International,230,Brazilian RealR,No,No,No,No,4,49,Dark Green,Excellent,30
6600116,Gero,30,Bras_lia,Shopping Iguatemi  piso 1 SHIN CA 4 Lote A Lago Norte Bras_lia,Shopping Iguatemi Lago Norte,Shopping Iguatemi Lago Norte Bras_lia,47885812,15720118,Italian,350,Brazilian RealR,No,No,No,No,4,33,Orange,Average,8
6601457,Brazilian American Burgers,30,Bras_lia,CLSN 301 Bloco C Loja 86 Sudoeste Bras_lia,Sudoeste,Sudoeste Bras_lia,4792102778,1579753056,American Burger,50,Brazilian RealR,No,No,No,No,2,36,Yellow,Good,9
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,Praia da Barra da Tijuca Avenida L_cio Costa Ilha 25 Barra da Tijuca Rio de Janeiro,Barra da Tijuca,Barra da Tijuca Rio de Janeiro,43377,230115,Seafood Bar Food Brazilian,140,Brazilian RealR,No,No,No,No,4,40,Green,Very Good,7
7304307,Confeitaria Colombo,30,Rio de Janeiro,Rua Gon_alves Dias 32 Centro Rio de Janeiro,Centro,Centro Rio de Janeiro,43178826,22905293,Desserts Cafe,100,Brazilian RealR,No,No,No,No,4,48,Dark Green,Excellent,29
7301215,Bibi,30,Rio de Janeiro,Rua Santa Clara 36 Copabana Rio de Janeiro,Copacabana,Copacabana Rio de Janeiro,4318669167,2297207222,Juices Healthy Food,60,Brazilian RealR,No,No,No,No,3,47,Dark Green,Excellent,24
7300596,Cervantes,30,Rio de Janeiro,Avenida Prado Junior 335 B Copacabana Rio de Janeiro,Copacabana,Copacabana Rio de Janeiro,4317583333,2296216667,Beverages Bar Food Fast Food,90,Brazilian RealR,No,No,No,No,3,45,Dark Green,Excellent,29
7300612,Amir,30,Rio de Janeiro,Rua Ronald de Carvalho 55 Copacabana Rio de Janeiro,Copacabana,Copacabana Rio de Janeiro,43176,2296516667,Lebanese,170,Brazilian RealR,No,No,No,No,4,42,Green,Very Good,11
7300704,TT Burger,30,Rio de Janeiro,Galeria River Rua Francisco Otaviano 67 Copacabana Rio de Janeiro,Galeria River Copacabana,Galeria River Copacabana Rio de Janeiro,43191,2298683333,Burger,60,Brazilian RealR,No,No,No,No,3,48,Dark Green,Excellent,19
7300955,Braseiro da Gvea,30,Rio de Janeiro,Pra_a Santos Dumont 116 Gvea Rio de Janeiro,Gvea,Gvea Rio de Janeiro,43227042,22973507,Brazilian Bar Food,100,Brazilian RealR,No,No,No,No,4,49,Dark Green,Excellent,40
7300521,Balada Mix,30,Rio de Janeiro,Rua An_bal de Mendon_a 37 Ipanema Rio de Janeiro,Ipanema,Ipanema Rio de Janeiro,43211425,2298520833,Brazilian Healthy Food Juices Pizza,90,Brazilian RealR,No,No,No,No,3,46,Dark Green,Excellent,21
7300515,Garota de Ipanema,30,Rio de Janeiro,Rua Vinicius de Moraes 49 Ipanema Rio de Janeiro,Ipanema,Ipanema Rio de Janeiro,43203,2298533333,Brazilian Bar Food,120,Brazilian RealR,No,No,No,No,4,49,Dark Green,Excellent,49
7300483,Zaz Bistr Tropical,30,Rio de Janeiro,Rua Joana Anglica 40 Ipanema Rio de Janeiro,Ipanema,Ipanema Rio de Janeiro,4320520833,2298531944,Brazilian,170,Brazilian RealR,No,No,No,No,4,46,Dark Green,Excellent,21
7301064,Fil de Ouro,30,Rio de Janeiro,Rua Jardim Botnico 731 Jardim Botnico Lagoa Rio de Janeiro,Lagoa,Lagoa Rio de Janeiro,43219563,22966647,Brazilian,90,Brazilian RealR,No,No,No,No,3,43,Green,Very Good,14
7304312,DOC Ristorante,30,Rio de Janeiro,Le Monde Bloco 3 Lojas AB Avenida das Amricas 3500 Barra da Tijuca Rio de Janeiro,Le Monde Barra da Tijuca,Le Monde Barra da Tijuca Rio de Janeiro,4334879167,2299991111,Italian,150,Brazilian RealR,No,No,No,No,4,40,Green,Very Good,5
7300004,Sushi Leblon,30,Rio de Janeiro,Rua Dias Ferreira 256 Leblon Rio de Janeiro,Leblon,Leblon Rio de Janeiro,43227,2298416667,Japanese,250,Brazilian RealR,No,No,No,No,4,46,Dark Green,Excellent,25
7300868,Talho Capixaba,30,Rio de Janeiro,Avenida Ataulfo de Paiva 1022 Lojas A e B Leblon Rio de Janeiro,Leblon,Leblon Rio de Janeiro,4322566667,2298516667,Bakery Sandwich Brazilian,120,Brazilian RealR,No,No,No,No,4,44,Green,Very Good,13
7302637,Leme Light,30,Rio de Janeiro,Rua Gustavo Sampaio 798 Leme Rio de Janeiro,Leme,Leme Rio de Janeiro,4317279167,22963925,Brazilian,40,Brazilian RealR,No,No,No,No,2,42,Green,Very Good,7
7302140,Shirley,30,Rio de Janeiro,Rua Gustavo Sampaio 610 Leme Rio de Janeiro,Leme,Leme Rio de Janeiro,4317126389,2296337222,Brazilian Seafood,250,Brazilian RealR,No,No,No,No,4,42,Green,Very Good,8
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,Madureira Shopping  Loja 289290 Piso 2 Estrada do Portela 222 Madureira Rio de Janeiro RJ,Madureira,Madureira Rio de Janeiro,43341164,22870413,Bar Food Brazilian,70,Brazilian RealR,No,No,No,No,3,0,White,Not rated,1
7302898,Apraz_vel,30,Rio de Janeiro,Rua Apraz_vel 62 Santa Teresa Rio de Janeiro,Santa Teresa,Santa Teresa Rio de Janeiro,4318736944,2292481389,Brazilian,300,Brazilian RealR,No,No,No,No,4,47,Dark Green,Excellent,44
7302859,Aconchego Carioca,30,Rio de Janeiro,Rua Baro de Iguatemi 379 Tijuca Rio de Janeiro,Tijuca,Tijuca Rio de Janeiro,4321551111,2291370833,Brazilian Bar Food,85,Brazilian RealR,No,No,No,No,3,46,Dark Green,Excellent,24
7301700,Garota de Ipanema,30,Rio de Janeiro,Avenida Joo Alves 56 Urca Rio de Janeiro,Urca,Urca Rio de Janeiro,4316266667,2294783333,Brazilian Bar Food,80,Brazilian RealR,No,No,No,No,3,43,Green,Very Good,10
6706313,Cantina Famiglia Mancini,30,So Paulo,Rua Avanhandava 81 Bela Vista So Paulo 10000,Bela Vista Centro,Bela Vista Centro So Paulo,4664516667,2355066667,Italian Pizza,250,Brazilian RealR,No,No,No,No,4,45,Dark Green,Excellent,49
6704326,Templo da Carne  Marcos Bassi,30,So Paulo,Rua Treze de Maio 668 Bela Vista So Paulo 01327000,Bela Vista Centro,Bela Vista Centro So Paulo,4664633333,23559,Steak BBQ,250,Brazilian RealR,No,No,No,No,4,44,Green,Very Good,17
6711179,Gopala Hari,30,So Paulo,Rua Antonio Carlos 429 Consola_o So Paulo,Consola_o,Consola_o So Paulo,4665866667,2355616667,Indian,70,Brazilian RealR,No,No,No,No,3,31,Orange,Average,5
6702797,Jiquitaia,30,So Paulo,Rua Antnio Carlos 268 Consola_o So Paulo,Consola_o,Consola_o So Paulo,46657523,2355671,Brazilian,100,Brazilian RealR,No,No,No,No,4,41,Green,Very Good,15
6700475,Skye  Hotel Unique,30,So Paulo,Hotel Unique Avenida Brigadeiro Lu_s Antnio 4700 Jardim Paulista So Paulo,Hotel Unique Jardim Paulista,Hotel Unique Jardim Paulista So Paulo,46666851,23581688,Beverages International,300,Brazilian RealR,No,No,No,No,4,48,Dark Green,Excellent,59
6713413,Les 3 Brasseurs,30,So Paulo,Rua Jesu_no Arruda 470 Itaim Bibi So Paulo,Itaim Bibi,Itaim Bibi So Paulo,4667511,23582135,French Brazilian Beverages,120,Brazilian RealR,No,No,No,No,4,46,Dark Green,Excellent,30
6714340,Red Steak  Burger,30,So Paulo,Rua Tabapu 1417 Itaim Bibi So Paulo,Itaim Bibi,Itaim Bibi So Paulo,46683888,23585324,Brazilian Grill,75,Brazilian RealR,No,No,No,No,3,39,Yellow,Good,5
6710645,Cantinho da Gula,30,So Paulo,Rua Pedroso Alvarenga 522 Itaim Bibi So Paulo SP,Itaim Bibi,Itaim Bibi So Paulo,4667566667,23581,Brazilian,55,Brazilian RealR,No,No,No,No,2,0,White,Not rated,0
6700402,Paris 6 Classique,30,So Paulo,Rua Haddock Lobo 1240 Cerqueira Csar Jardim Paulista So Paulo,Jardim Paulista,Jardim Paulista So Paulo,46666041,23561568,French,200,Brazilian RealR,No,No,No,No,4,34,Orange,Average,73
6700846,Kawa Sushi,30,So Paulo,Alameda Lorena 300 Jardim Paulista So Paulo,Jardim Paulista,Jardim Paulista So Paulo,46657418,23571638,Sushi Japanese,120,Brazilian RealR,No,No,No,No,4,35,Yellow,Good,9
6702159,A Figueira Rubaiyat,30,So Paulo,Rua Haddock Lobo 1738 Cerqueira Csar Jardim Paulista So Paulo 10000,Jardim Paulista,Jardim Paulista So Paulo,4666983333,235655,BBQ Grill Brazilian,300,Brazilian RealR,No,No,No,No,4,43,Green,Very Good,39
6711666,Kinoshita,30,So Paulo,Rua Jacques Flix 405 Vila Nova Concei_o Moema So Paulo,Moema,Moema So Paulo,4667133333,2359233333,Sushi,230,Brazilian RealR,No,No,No,No,4,39,Yellow,Good,12
6701257,Meats,30,So Paulo,Rua dos Pinheiros 320 Pinheiros So Paulo,Pinheiros,Pinheiros So Paulo,4668133333,2356483333,Gourmet Fast Food Burger,120,Brazilian RealR,No,No,No,No,4,43,Green,Very Good,68
6706211,Paribar,30,So Paulo,Pra_a Dom Jos Gaspar 42 Rep_blica So Paulo 10000,Rep_blica,Rep_blica So Paulo,4664159444,2354664167,Brazilian Italian,150,Brazilian RealR,No,No,No,No,4,43,Green,Very Good,46
6705858,Terra_o Itlia,30,So Paulo,Edif_cio Itlia  41 Andar Avenida Ipiranga 344 Rep_blica So Paulo,Rep_blica,Rep_blica So Paulo,46643425,23545163,Italian,400,Brazilian RealR,No,No,No,No,4,44,Green,Very Good,37
6701419,Divino Fogo,30,So Paulo,Shopping Metr Santa Cruz  Piso L2 Rua Domingos de Morais 2564 Vila Mariana So Paulo,Shopping Metr Santa Cruz Vila Mariana,Shopping Metr Santa Cruz Vila Mariana So Paulo,4663716667,235995,Brazilian Mineira,65,Brazilian RealR,No,No,No,No,3,0,White,Not rated,2
6703956,Super Grill,30,So Paulo,Shopping Morumbi  Piso Lazer Avenida Roque Petroni J_nior 1089 Santo Amaro So Paulo,Shopping Morumbi Santo Amaro,Shopping Morumbi Santo Amaro So Paulo,46698574,23622925,Brazilian,50,Brazilian RealR,No,No,No,No,2,0,White,Not rated,2
6709580,Esquina Mocot_,30,So Paulo,Avenida Nossa Senhora do Loreto 1104 Vila Medeiros Vila Maria So Paulo,Vila Maria,Vila Maria So Paulo,46581672,23486535,Brazilian North Eastern,100,Brazilian RealR,No,No,No,No,4,44,Green,Very Good,22
6703176,Veloso,30,So Paulo,Rua Concei_o Veloso 56 Vila Mariana So Paulo,Vila Mariana,Vila Mariana So Paulo,4663566667,2358516667,Brazilian Bar Food Beverages,70,Brazilian RealR,No,No,No,No,3,46,Dark Green,Excellent,58
6713772,Sainte Marie Gastronomia,30,So Paulo,Rua Dom Joo Batista da Costa 70 Vila Snia So Paulo,Vila Snia,Vila Snia So Paulo,46746958,23609207,Lebanese Arabian,120,Brazilian RealR,No,No,No,No,4,41,Green,Very Good,11
17284404,Austins BBQ and Oyster Bar,216,Albany,2820 Meredyth Dr Albany GA 31707,Albany,Albany Albany,84221535,31610387,BBQ Burger Seafood,25,Dollar,No,No,No,No,2,33,Orange,Average,35
17284203,BJs Country Buffet,216,Albany,2401 Dawson Rd Albany GA 31707,Albany,Albany Albany,84207095,31608743,American BBQ,10,Dollar,No,No,No,No,1,33,Orange,Average,25
17284302,El Vaquero Mexican Restaurant,216,Albany,2700 Dawson Rd Albany GA 31707,Albany,Albany Albany,842194,316158,Mexican,0,Dollar,No,No,No,No,1,34,Orange,Average,45
17284397,Elements Coffee Co  Northwest,216,Albany,2726 Ledo Rd Ste 10 Albany GA 31707,Albany,Albany Albany,84206944,31622412,Coffee and Tea Sandwich,10,Dollar,No,No,No,No,1,34,Orange,Average,26
17284094,ChickfilA,216,Albany,2703 Dawson Rd Albany GA 31707,Albany,Albany Albany,842193,31616,Fast Food,10,Dollar,No,No,No,No,1,35,Yellow,Good,67
17284409,Guang Zhou Chinese Restaurant,216,Albany,1214 N Westover Blvd Albany GA 31707,Albany,Albany Albany,842091458,316155186,Asian Chinese Vegetarian,10,Dollar,No,No,No,No,1,39,Yellow,Good,141
17284139,Harvest Moon,216,Albany,2347 Dawson Road Albany GA 31707,Albany,Albany Albany,84205718,31604905,Pizza Bar Food Sandwich,25,Dollar,No,No,No,No,2,37,Yellow,Good,147
17284403,Henry Campbells Steakhouse,216,Albany,629 N Westover Blvd Albany GA 31707,Albany,Albany Albany,84223278,31612121,Steak Tapas Bar Food,70,Dollar,No,No,No,No,4,35,Yellow,Good,51
17284145,Hong Kong Cafe,216,Albany,2700 Dawson Rd Albany GA 31707,Albany,Albany Albany,842191,316156,Chinese Seafood Vegetarian,25,Dollar,No,No,No,No,2,36,Yellow,Good,88
17284150,House of China Restaurant II,216,Albany,2526 Dawson Rd Ste A Albany GA 31707,Albany,Albany Albany,84212,316104,Chinese,10,Dollar,No,No,No,No,1,38,Yellow,Good,153
17284175,Locos Grill  Pub,216,Albany,547 N Westover Blvd Albany GA 31707,Albany,Albany Albany,842228,316077,American Burger Sandwich,25,Dollar,No,No,No,No,2,35,Yellow,Good,57
17284179,Longhorn Steakhouse,216,Albany,2733 Dawson Rd Albany GA 31707,Albany,Albany Albany,842229,316185,American Steak,25,Dollar,No,No,No,No,2,35,Yellow,Good,58
17284197,Mikata Japanese Steakhouse,216,Albany,2610 Dawson Rd Albany GA 31707,Albany,Albany Albany,842164,316137,Japanese Steak Sushi,40,Dollar,No,No,No,No,3,36,Yellow,Good,115
17284241,Shogun Japanese Steak House,216,Albany,629 N Westover Blvd Albany GA 31707,Albany,Albany Albany,842233,316118,Japanese Steak Sushi,40,Dollar,No,No,No,No,3,35,Yellow,Good,51
17284390,The Catch Seafood Room  Oyster Bar,216,Albany,2332 Whispering Pines Road Albany GA 31707,Albany,Albany Albany,84205025,31605882,Seafood Tapas Bar Food,40,Dollar,No,No,No,No,3,38,Yellow,Good,250
17284279,Villa Gargano,216,Albany,1604 N Slappey Blvd Albany GA 31701,Albany,Albany Albany,841757,315985,Italian Pizza,10,Dollar,No,No,No,No,1,37,Yellow,Good,117
17284364,3 Squares Diner,216,Albany,202 W Franklin St Sylvester GA 31791,Sylvester,Sylvester Albany,838389,315308,American Breakfast Diner,10,Dollar,No,No,No,No,1,34,Orange,Average,20
16611114,Whitebull Hotel,14,Armidale,117 Marsh St Armidale NSW,Armidale,Armidale Armidale,1516688792,305147169,Bar Food Steak,20,Dollar,No,No,No,No,2,35,Yellow,Good,25
17293281,Last Resort Grill,216,Athens,184 W Clayton St Athens GA 30601,Athens,Athens Athens,83378273,33957999,American Southern Southwestern,40,Dollar,No,No,No,No,3,45,Dark Green,Excellent,1821
17293301,Mamas Boy Restaurant,216,Athens,197 Oak St GA 30601,Athens,Athens Athens,833654,339535,Southern,10,Dollar,No,No,No,No,1,45,Dark Green,Excellent,849
17293409,Sr Sol 1,216,Athens,175 Tallassee Rd Athens GA 30606,Athens,Athens Athens,834293,339652,Mexican,10,Dollar,No,No,No,No,1,46,Dark Green,Excellent,917
17293163,Choo Choo Eastside,216,Athens,1055 Gaines School Rd Ste 100 Athens GA 30605,Athens,Athens Athens,833389,339259,Japanese Korean,10,Dollar,No,No,No,No,1,39,Yellow,Good,439
17293228,The Grill,216,Athens,171 College Ave Athens GA 30601,Athens,Athens Athens,83375523,33958198,Breakfast Burger Sandwich,10,Dollar,No,No,No,No,1,37,Yellow,Good,289
17293880,Big City Bread Cafe,216,Athens,393 N Finley St Athens GA 30601,Athens,Athens Athens,83384004,33959392,Breakfast Sandwich,10,Dollar,No,No,No,No,1,43,Green,Very Good,558
17293169,Clocked,216,Athens,259 W Washington St Athens GA 30601,Athens,Athens Athens,833797,339584,American Burger Sandwich,10,Dollar,No,No,No,No,1,42,Green,Very Good,613
17293186,DePalmas Italian Cafe  Downtown,216,Athens,401 E Broad St Athens GA 30601,Athens,Athens Athens,83373596,33958112,American Italian Pizza,25,Dollar,No,No,No,No,2,40,Green,Very Good,353
17293180,DePalmas Italian Cafe  East Side,216,Athens,1965 Barnett Shoals Rd Athens GA 30605,Athens,Athens Athens,8333995,33924275,American Italian Pizza,25,Dollar,No,No,No,No,2,41,Green,Very Good,387
